"01","86","Châtillon-sur-Chalaronne","CHÂTILLON-SUR-CHALARONNE","chactillon-sur-chalaronne","01400"
"01","87","Chavannes-sur-Reyssouze","CHAVANNES-SUR-REYSSOUZE","chavannes-sur-reyssouze","01190"
"01","88","Chavannes-sur-Suran","CHAVANNES-SUR-SURAN","chavannes-sur-suran","01250"
"01","89","Chaveyriat","CHAVEYRIAT","chaveyriat","01660"
"01","90","Chavornay","CHAVORNAY","chavornay","01510"
"01","91","Chazey-Bons","CHAZEY-BONS","chazey-bons","01300"
"01","92","Chazey-sur-Ain","CHAZEY-SUR-AIN","chazey-sur-ain","01150"
"01","93","Cheignieu-la-Balme","CHEIGNIEU-LA-BALME","cheignieu-la-balme","01510"
"01","94","Chevillard","CHEVILLARD","chevillard","01430"
"01","95","Chevroux","CHEVROUX","chevroux","01190"
"01","96","Chevry","CHEVRY","chevry","01170"
"01","97","Chézery-Forens","CHEZERY-FORENS","chaczery-forens","01200-01410"
"01","98","Civrieux","CIVRIEUX","civrieux","01390"
"01","99","Cize","CIZE","cize","01250"
"01","100","Cleyzieu","CLEYZIEU","cleyzieu","01230"
"01","101","Coligny","COLIGNY","coligny","01270"
"01","102","Collonges","COLLONGES","collonges","01550"
"01","103","Colomieu","COLOMIEU","colomieu","01300"
"01","104","Conand","CONAND","conand","01230"
"01","105","Condamine","CONDAMINE","condamine","01430"
"01","106","Condeissiat","CONDEISSIAT","condeissiat","01400"
"01","107","Confort","CONFORT","confort","01200"
"01","108","Confrançon","CONFRANEON","confranasson","01310"
"01","109","Contrevoz","CONTREVOZ","contrevoz","01300"
"01","110","Conzieu","CONZIEU","conzieu","01300"
"01","111","Corbonod","CORBONOD","corbonod","01420"
"01","112","Corcelles","CORCELLES","corcelles","01110"
"01","113","Corlier","CORLIER","corlier","01110"
"01","114","Cormaranche-en-Bugey","CORMARANCHE-EN-BUGEY","cormaranche-en-bugey","01110"
"01","115","Cormoranche-sur-Saône","CORMORANCHE-SUR-SAÔNE","cormoranche-sur-saane","01290"
"01","116","Cormoz","CORMOZ","cormoz","01560"
"01","117","Corveissiat","CORVEISSIAT","corveissiat","01250"
"01","118","Courmangoux","COURMANGOUX","courmangoux","01370"
"01","119","Courtes","COURTES","courtes","01560"
"01","120","Crans","CRANS","crans","01320"
"01","121","Cras-sur-Reyssouze","CRAS-SUR-REYSSOUZE","cras-sur-reyssouze","01340"
"01","122","Cressin-Rochefort","CRESSIN-ROCHEFORT","cressin-rochefort","01350"
"01","123","Crottet","CROTTET","crottet","01290-01750"
"01","124","Crozet","CROZET","crozet","01170"
"01","125","Cruzilles-lès-Mépillat","CRUZILLES-LES-MEPILLAT","cruzilles-las-macpillat","01290"
"01","126","Culoz","CULOZ","culoz","01350"
"01","127","Curciat-Dongalon","CURCIAT-DONGALON","curciat-dongalon","01560"
"01","128","Curtafond","CURTAFOND","curtafond","01310"
"01","129","Cuzieu","CUZIEU","cuzieu","01300"
"01","130","Dagneux","DAGNEUX","dagneux","01120"
"01","131","Divonne-les-Bains","DIVONNE-LES-BAINS","divonne-les-bains","01220"
"01","132","Dommartin","DOMMARTIN","dommartin","01380"
"01","133","Dompierre-sur-Veyle","DOMPIERRE-SUR-VEYLE","dompierre-sur-veyle","01240"
"01","134","Dompierre-sur-Chalaronne","DOMPIERRE-SUR-CHALARONNE","dompierre-sur-chalaronne","01400"
"01","135","Domsure","DOMSURE","domsure","01270"
